Time (ms), In Left dBFS, In Right dBFS, Out Left dBFS, Out Right dBFS, rMomentary LU MAIN, rShort LU MAIN, rIntegrated LU MAIN , rPeak Correction dB MAIN, peakCorrection MAIN, alc correction dB MAIN, absGetEnergy MAIN, relGatePower MAIN, atten attack_rate MAIN, atten this_hold MAIN, atten current_atten MAIN, atten iir accum MAIN, atten loudness_step MAIN, stats shortData size MAIN, ltlc window400mSenergy MAIN, ltlc momentaryLoudness MAIN, ltlc integratedLoudness MAIN, ltlc correctionx100_dB MAIN, ltlc correction_dB MAIN, ltlc windowedLoudness MAIN, ltlc latchedLoudness MAIN, ltlc iAbsLoudness MAIN
128,  -18.00,  -18.00,  -18.00,  -18.00,  -99.90,  -99.06,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -70.13,  -82.90, 14,    0.00,  -99.90,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
224,  -18.00,  -18.00,  -18.00,  -18.00,  -99.90,  -99.06,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -71.50,  -82.90, 14,    0.01,  -99.90,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
320,  -18.00,  -18.00,  -18.00,  -18.00,  -99.90,  -99.12,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -72.81,  -82.90, 14,    0.01,  -99.90,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
416,  -18.00,  -18.00,  -18.00,  -18.00,  -99.90,  -99.12,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -74.06,  -82.90, 14,    0.02,  -99.90,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
512,  -18.00,  -18.00,  -18.00,  -18.00,  -99.90,  -99.18,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -75.26,  -82.90, 14,    0.02,  -99.90,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
608,  -18.00,  -18.00,  -18.00,  -18.00,  -99.90,  -99.18,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -76.39,  -82.90, 14,    0.02,  -99.90,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
704,  -18.00,  -18.00,  -18.00,  -18.00,  -99.90,  -99.25,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -77.48,  -82.90, 14,    0.02,  -99.90,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
800,  -18.00,  -18.00,  -18.00,  -18.00,  -99.90,  -99.25,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -78.51,  -82.90, 14,    0.02,  -99.90,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
928,  -18.00,  -18.00,  -18.00,  -18.00,  -17.99,  -93.45,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -77.28,   -0.99, 14,    0.02,  -17.99,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
1024,  -18.00,  -18.00,  -18.00,  -18.00,  -17.99,  -93.45,  -99.90,    0.00,    0.00,    0.00,    0.00,  -28.00,    1.00, 0,    0.00,  -74.54,   -0.99, 14,    0.02,  -17.99,  -99.90,    0.00,    0.00,  -99.90,    0.00,  -99.90
