Time (ms), Left Level dB, Right Level dB, rMomentary LU MAIN, rShort LU MAIN, rIntegrated LU MAIN , rPeak Correction dB MAIN
60000,  -23.00,  -23.00,  -22.52,  -22.46,  -22.51,    0.00
120000,  -23.00,  -23.00,  -22.50,  -22.44,  -22.52,    0.00
180000,  -23.00,  -23.00,  -22.53,  -22.44,  -22.51,   -0.14
240000,  -23.00,  -23.00,  -22.55,  -22.47,  -22.51,   -0.37
300000,  -23.00,  -23.00,  -22.50,  -22.45,  -22.52,   -0.48
360000,  -20.00,  -20.00,  -19.51,  -19.47,  -21.91,   -2.27
420000,  -20.00,  -20.00,  -19.48,  -19.45,  -21.47,   -2.48
480000,  -20.00,  -20.00,  -19.52,  -19.45,  -21.17,   -2.55
540000,  -20.00,  -20.00,  -19.54,  -19.46,  -20.95,   -2.57
600000,  -20.00,  -20.00,  -19.44,  -19.45,  -20.79,   -2.57
660000,  -20.00,  -20.00,  -22.48,  -22.45,  -20.87,   -3.05
720000,  -23.00,  -23.00,  -22.50,  -22.43,  -20.98,   -3.27
780000,  -23.00,  -23.00,  -22.57,  -22.44,  -21.09,   -3.27
840000,  -23.00,  -23.00,  -22.50,  -22.41,  -21.17,   -3.06
900000,  -23.00,  -23.00,  -22.54,  -22.42,  -21.25,   -2.58
960000,  -23.00,  -23.00,  -25.46,  -25.42,  -21.40,   -2.00
1020000,  -26.00,  -26.00,  -25.55,  -25.45,  -21.56,   -1.35
1080000,  -26.00,  -26.00,  -25.48,  -25.44,  -21.70,   -0.65
1140000,  -26.00,  -26.00,  -25.54,  -25.47,  -21.84,    0.44
1200000,  -26.00,  -26.00,  -25.52,  -25.46,  -21.96,    0.98
1260000,  -23.00,  -23.00,  -22.49,  -22.46,  -22.02,    1.18
1320000,  -23.00,  -23.00,  -22.54,  -22.43,  -22.04,    0.92
1380000,  -23.00,  -23.00,  -22.52,  -22.44,  -22.06,    0.81
1440000,  -23.00,  -23.00,  -22.50,  -22.44,  -22.08,    0.56
1500000,  -23.00,  -23.00,  -22.52,  -22.45,  -22.10,    0.49
1560000,  -20.00,  -20.00,  -19.46,  -19.41,  -22.03,   -2.38
1620000,  -20.00,  -20.00,  -19.47,  -19.43,  -21.90,   -2.56
1680000,  -20.00,  -20.00,  -19.51,  -19.46,  -21.79,   -2.56
1740000,  -20.00,  -20.00,  -19.49,  -19.45,  -21.69,   -2.57
1800000,  -20.00,  -20.00,  -19.53,  -19.48,  -21.59,   -2.56
1860000,  -20.00,  -20.00,  -22.54,  -22.45,  -21.56,   -2.87
1920000,  -23.00,  -23.00,  -22.55,  -22.45,  -21.59,   -3.22
1980000,  -23.00,  -23.00,  -22.51,  -22.43,  -21.62,   -3.26
2040000,  -23.00,  -23.00,  -22.48,  -22.45,  -21.64,   -3.16
2100000,  -23.00,  -23.00,  -22.54,  -22.43,  -21.66,   -2.76
2160000,  -23.00,  -23.00,  -25.54,  -25.45,  -21.70,   -2.20
2220000,  -26.00,  -26.00,  -25.58,  -25.45,  -21.77,   -1.57
2280000,  -26.00,  -26.00,  -25.57,  -25.45,  -21.84,   -0.89
2340000,  -26.00,  -26.00,  -25.49,  -25.44,  -21.90,    0.27
2400000,  -26.00,  -26.00,  -25.55,  -25.44,  -21.97,    0.79
2460000,  -23.00,  -23.00,  -22.48,  -22.44,  -22.01,    1.18
2520000,  -23.00,  -23.00,  -22.52,  -22.47,  -22.02,    0.95
2580000,  -23.00,  -23.00,  -22.56,  -22.45,  -22.03,    0.88
2640000,  -23.00,  -23.00,  -22.53,  -22.44,  -22.04,    0.68
2700000,  -23.00,  -23.00,  -22.52,  -22.43,  -22.05,    0.49
2760000,  -20.00,  -20.00,  -19.51,  -19.44,  -22.04,   -2.10
2820000,  -20.00,  -20.00,  -19.52,  -19.45,  -21.97,   -2.55
2880000,  -20.00,  -20.00,  -19.54,  -19.43,  -21.90,   -2.55
2940000,  -20.00,  -20.00,  -19.55,  -19.44,  -21.84,   -2.56
3000000,  -20.00,  -20.00,  -19.49,  -19.47,  -21.78,   -2.57
3060000,  -20.00,  -20.00,  -22.51,  -22.43,  -21.73,   -2.69
3120000,  -23.00,  -23.00,  -22.52,  -22.43,  -21.74,   -3.17
3180000,  -23.00,  -23.00,  -22.53,  -22.43,  -21.76,   -3.30
3240000,  -23.00,  -23.00,  -22.52,  -22.45,  -21.77,   -3.27
3300000,  -23.00,  -23.00,  -22.55,  -22.45,  -21.78,   -2.93
3360000,  -23.00,  -23.00,  -25.57,  -25.47,  -21.80,   -2.40
3420000,  -26.00,  -26.00,  -25.52,  -25.45,  -21.84,   -1.79
3480000,  -26.00,  -26.00,  -25.45,  -25.43,  -21.88,   -1.12
3540000,  -26.00,  -26.00,  -25.50,  -25.45,  -21.92,   -0.45
3600000,  -26.00,  -26.00,  -25.56,  -25.45,  -21.97,    0.61
3660000,  -26.00,  -26.00,  -25.53,  -25.43,  -22.01,    1.17
3720000,  -23.00,  -23.00,  -22.54,  -22.46,  -22.01,    1.18
3780000,  -23.00,  -23.00,  -22.54,  -22.47,  -22.02,    0.92
3840000,  -23.00,  -23.00,  -22.50,  -22.44,  -22.03,    0.77
3900000,  -23.00,  -23.00,  -22.53,  -22.46,  -22.04,    0.49
3960000,  -23.00,  -23.00,  -22.55,  -22.44,  -22.04,    0.49
4020000,  -20.00,  -20.00,  -19.50,  -19.45,  -22.00,   -2.53
4080000,  -20.00,  -20.00,  -19.48,  -19.45,  -21.95,   -2.55
4140000,  -20.00,  -20.00,  -19.50,  -19.44,  -21.90,   -2.56
4200000,  -20.00,  -20.00,  -19.55,  -19.45,  -21.86,   -2.56
4260000,  -20.00,  -20.00,  -19.45,  -19.45,  -21.81,   -2.56
4320000,  -20.00,  -20.00,  -22.53,  -22.46,  -21.81,   -3.04
4380000,  -23.00,  -23.00,  -22.52,  -22.46,  -21.82,   -3.27
4440000,  -23.00,  -23.00,  -22.48,  -22.44,  -21.83,   -3.27
4500000,  -23.00,  -23.00,  -22.51,  -22.46,  -21.84,   -3.06
4560000,  -23.00,  -23.00,  -22.53,  -22.45,  -21.85,   -2.58
4620000,  -23.00,  -23.00,  -25.51,  -25.45,  -21.87,   -2.00
4680000,  -26.00,  -26.00,  -25.53,  -25.44,  -21.90,   -1.35
4740000,  -26.00,  -26.00,  -25.52,  -25.45,  -21.94,   -0.66
4800000,  -26.00,  -26.00,  -25.51,  -25.46,  -21.97,    0.44
4860000,  -26.00,  -26.00,  -25.54,  -25.42,  -22.00,    0.98
4920000,  -23.00,  -23.00,  -22.54,  -22.44,  -22.01,    1.17
4980000,  -23.00,  -23.00,  -22.49,  -22.42,  -22.02,    0.91
5040000,  -23.00,  -23.00,  -22.51,  -22.44,  -22.02,    0.81
5100000,  -23.00,  -23.00,  -22.52,  -22.43,  -22.03,    0.56
5160000,  -23.00,  -23.00,  -22.49,  -22.45,  -22.03,    0.49
5220000,  -20.00,  -20.00,  -19.55,  -19.46,  -22.01,   -2.36
5280000,  -20.00,  -20.00,  -19.55,  -19.45,  -21.97,   -2.56
5340000,  -20.00,  -20.00,  -19.45,  -19.45,  -21.94,   -2.56
5400000,  -20.00,  -20.00,  -19.48,  -19.45,  -21.90,   -2.57
5460000,  -20.00,  -20.00,  -19.54,  -19.45,  -21.87,   -2.56
5520000,  -20.00,  -20.00,  -22.52,  -22.44,  -21.85,   -2.87
5580000,  -23.00,  -23.00,  -22.50,  -22.41,  -21.86,   -3.22
5640000,  -23.00,  -23.00,  -22.56,  -22.45,  -21.87,   -3.26
5700000,  -23.00,  -23.00,  -22.52,  -22.46,  -21.87,   -3.17
5760000,  -23.00,  -23.00,  -22.50,  -22.44,  -21.88,   -2.76
5820000,  -23.00,  -23.00,  -25.56,  -25.48,  -21.89,   -2.20
5880000,  -26.00,  -26.00,  -25.54,  -25.46,  -21.92,   -1.58
5940000,  -26.00,  -26.00,  -25.57,  -25.47,  -21.94,   -0.90
6000000,  -26.00,  -26.00,  -25.54,  -25.44,  -21.97,   -0.26
6060000,  -26.00,  -26.00,  -25.52,  -25.45,  -21.99,    0.79
6120000,  -26.00,  -26.00,  -49.58,  -49.51,  -22.02,    1.37
6180000,  -50.05,  -50.05,  -49.60,  -49.51,  -22.06,    2.04
6240000,  -50.05,  -50.05,  -49.56,  -49.51,  -22.10,    2.79
6300000,  -50.05,  -50.05,  -49.63,  -49.54,  -22.15,    3.68
6360000,  -50.05,  -50.05,  -49.61,  -49.50,  -22.19,    4.66
6420000,  -23.00,  -23.00,  -22.51,  -22.45,  -22.22,    5.44
